epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.378,0.913,3.50529,1.15777,0.00955,1,0.86403,0.57918,1.05293,3.4692,1.25143,0.00010002,0.00010002,0.00010002
2,75.6275,0.96391,2.2077,1.09057,1,0.26245,0.98567,0.69884,1.13705,2.99734,1.19828,0.000214565,0.000214565,0.000214565
3,112.392,0.95716,1.6287,1.09095,0.00964,1,0.99157,0.68177,1.07158,3.12422,1.17128,0.000326799,0.000326799,0.000326799
4,149.034,1.11522,1.49227,1.15437,0.98507,0.65987,0.98522,0.6859,1.18087,3.05973,1.21876,0.000436722,0.000436722,0.000436722
5,185.637,1.02976,1.32762,1.10289,0.9889,0.89053,0.96519,0.61933,1.20744,2.54132,1.28992,0.000544336,0.000544336,0.000544336
6,221.435,1.03834,1.27976,1.10527,0.98682,0.74859,0.98051,0.66187,1.11418,2.72683,1.20009,0.000649638,0.000649638,0.000649638
7,257.949,0.97981,1.35124,1.11204,0.98348,0.79,0.98037,0.65043,1.17448,2.55716,1.24669,0.00075263,0.00075263,0.00075263
8,293.633,0.94614,1.20185,1.09854,0.97311,0.72383,0.95318,0.64119,1.16328,2.62554,1.35581,0.000853312,0.000853312,0.000853312
9,331.53,0.99748,1.27329,1.15006,1,0.2485,0.68853,0.4134,1.22822,3.36057,1.36738,0.000951684,0.000951684,0.000951684
10,368.824,1.10988,1.19497,1.17175,1,0.02964,0.41232,0.24985,1.42151,3.8497,1.53521,0.00104774,0.00104774,0.00104774
11,405.98,1.05431,1.22546,1.12867,1,0.04737,0.31845,0.17497,1.39948,3.8544,1.63275,0.00114149,0.00114149,0.00114149
12,444.373,1.04988,1.15719,1.11778,0.411,0.31,0.27977,0.10004,1.39606,3.66926,1.58152,0.00123293,0.00123293,0.00123293
