epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8705,2.47025,5.31066,2.56012,0.0072,0.63346,0.21166,0.08285,1.99022,4.19628,1.92116,0.0001625,0.0001625,0.0001625
2,22.6656,2.01015,4.09419,1.54018,0.02185,0.89684,0.48374,0.18324,1.80125,3.69932,1.46288,0.000335273,0.000335273,0.000335273
3,32.2894,1.90776,3.31765,1.5102,0.02616,0.90013,0.6092,0.24119,1.71377,3.6562,1.41032,0.000505735,0.000505735,0.000505735
4,41.569,1.85162,2.94016,1.40754,0.00739,0.93788,0.60015,0.21918,1.83987,3.69419,1.42222,0.000673888,0.000673888,0.000673888
5,50.6532,1.83043,2.74817,1.41548,0.89444,0.21086,0.77096,0.30555,1.79498,3.18605,1.38448,0.00083973,0.00083973,0.00083973
6,59.2907,1.79343,2.61519,1.40059,0.78467,0.77515,0.82413,0.35338,1.80378,2.61324,1.35956,0.00100326,0.00100326,0.00100326
7,67.7538,1.8369,2.68768,1.43146,0.8111,0.65377,0.84343,0.39923,1.70072,2.33686,1.32349,0.00116449,0.00116449,0.00116449
8,76.4771,1.76261,2.38479,1.39667,0.72302,0.70732,0.7909,0.36185,1.75709,2.10852,1.47246,0.00119225,0.00119225,0.00119225
9,85.1963,1.83282,2.22074,1.45215,0.82309,0.7452,0.81039,0.36079,1.76008,1.88617,1.45668,0.001184,0.001184,0.001184
10,93.5345,1.73252,2.13707,1.40342,0.81139,0.84476,0.8841,0.41685,1.77149,1.56289,1.46219,0.00117575,0.00117575,0.00117575
11,101.888,1.69015,2.09317,1.35722,0.83063,0.85492,0.90378,0.41976,1.67168,1.42802,1.34614,0.0011675,0.0011675,0.0011675
12,110.247,1.65269,1.86896,1.34617,0.75764,0.86414,0.88198,0.42138,1.69072,1.42903,1.41681,0.00115925,0.00115925,0.00115925
13,119.03,1.68103,1.85022,1.37337,0.87239,0.88674,0.91795,0.48577,1.62398,1.30689,1.40099,0.001151,0.001151,0.001151
14,127.512,1.64983,1.69018,1.35673,0.80607,0.80983,0.84689,0.416,1.69928,1.44121,1.37989,0.00114275,0.00114275,0.00114275
15,135.947,1.63651,1.75543,1.31701,0.9146,0.90543,0.94416,0.47625,1.64527,1.19309,1.33838,0.0011345,0.0011345,0.0011345
16,144.398,1.65664,1.65227,1.34726,0.86724,0.89331,0.92197,0.48615,1.59518,1.10389,1.33062,0.00112625,0.00112625,0.00112625
17,152.897,1.67358,1.52636,1.39122,0.84875,0.85492,0.92495,0.49641,1.55208,1.16711,1.3091,0.001118,0.001118,0.001118
18,161.72,1.67446,1.51182,1.37795,0.80725,0.87342,0.87435,0.37858,1.82772,1.20633,1.44153,0.00110975,0.00110975,0.00110975
19,169.961,1.62749,1.47276,1.35651,0.8287,0.75427,0.89857,0.43387,1.73443,1.2804,1.41754,0.0011015,0.0011015,0.0011015
20,178.153,1.62433,1.34432,1.34672,0.87479,0.90063,0.94908,0.48669,1.59097,1.06802,1.30505,0.00109325,0.00109325,0.00109325
