epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58802,1.02739,4.02019,1.1921,0.00492,0.78583,0.11665,0.06907,0.93418,3.44111,1.10193,7.5e-05,7.5e-05,7.5e-05
2,13.5515,1.00229,3.38182,1.15316,0.00763,0.91667,0.63692,0.4696,0.9195,3.12079,1.04591,0.000160891,0.000160891,0.000160891
3,18.4384,1.0956,1.76285,1.19122,1,0.18301,0.90433,0.64623,1.0077,2.58871,1.04629,0.00024505,0.00024505,0.00024505
4,23.2788,1.03899,1.48474,1.09167,0.99143,0.52751,0.96209,0.67819,1.0408,2.75145,1.08511,0.000327476,0.000327476,0.000327476
5,28.2585,0.99735,1.31778,1.05857,1,0.28152,0.92249,0.63001,1.03785,2.81299,1.12515,0.00040817,0.00040817,0.00040817
6,33.2751,1.00069,1.25675,1.07717,1,0.53862,0.98088,0.67822,1.07932,2.39083,1.07794,0.000487131,0.000487131,0.000487131
7,38.1186,1.07225,1.23703,1.10616,0.98506,0.35329,0.95336,0.67429,0.98088,2.49808,1.08391,0.00056436,0.00056436,0.00056436
8,42.7174,1.05914,1.25638,1.14724,1,0.22894,0.90157,0.62334,1.00196,2.71128,1.09153,0.000639856,0.000639856,0.000639856
9,47.3076,1.01087,1.18195,1.1074,1,0.43263,0.93206,0.64993,1.01833,2.41595,1.09026,0.00071362,0.00071362,0.00071362
10,51.9961,0.9925,1.17989,1.08423,1,0.73087,0.95936,0.67596,0.98025,2.11672,1.05047,0.000785651,0.000785651,0.000785651
11,56.5264,1.01701,1.09882,1.10142,0.94988,0.77774,0.89511,0.62952,0.98458,1.93968,1.04141,0.00085595,0.00085595,0.00085595
12,61.1272,0.97277,1.07635,1.07802,0.96095,0.90172,0.98009,0.71756,0.947,1.44751,1.02001,0.000924516,0.000924516,0.000924516
13,65.8231,1.03254,1.06104,1.11872,0.92777,0.79025,0.90822,0.63115,1.04085,1.81386,1.06672,0.00099135,0.00099135,0.00099135
14,70.4659,0.99544,1.04778,1.07476,0.97555,0.9633,0.98881,0.68671,1.05077,1.16218,1.08699,0.00105645,0.00105645,0.00105645
15,75.0923,1.01949,1.03286,1.09405,0.98526,0.98978,0.99198,0.71819,0.97093,1.02434,1.04728,0.00107675,0.00107675,0.00107675
16,79.707,0.98572,0.96389,1.09906,0.89155,0.85779,0.9543,0.64035,1.05255,1.08424,1.0964,0.00106437,0.00106437,0.00106437
17,84.1777,1.02522,0.96917,1.10619,0.7796,0.65192,0.77679,0.52123,1.01872,1.40357,1.07282,0.001052,0.001052,0.001052
18,88.7722,1.01493,0.93962,1.10614,0.93324,0.84485,0.9048,0.66407,0.96458,1.01918,1.04309,0.00103962,0.00103962,0.00103962
19,93.3028,0.96146,0.89582,1.07387,0.97157,0.95833,0.98053,0.72381,0.9484,0.84125,1.04574,0.00102725,0.00102725,0.00102725
20,97.9981,0.94381,0.84456,1.08631,0.89595,0.97006,0.97769,0.701,0.96909,0.84877,1.04754,0.00101488,0.00101488,0.00101488
21,102.629,0.98738,0.83968,1.07998,0.9356,0.97512,0.98326,0.71847,0.96734,0.84635,1.05111,0.0010025,0.0010025,0.0010025
22,107.258,0.90218,0.81825,1.05226,0.98749,1,0.99155,0.7367,0.93496,0.60007,1.04668,0.000990125,0.000990125,0.000990125
23,111.806,0.97896,0.82593,1.1057,0.98302,1,0.99345,0.71818,0.90186,0.64257,1.01635,0.00097775,0.00097775,0.00097775
24,116.296,1.00698,0.81181,1.12773,0.97123,0.97678,0.9905,0.73839,0.91843,0.75199,1.02905,0.000965375,0.000965375,0.000965375
25,121.039,0.94,0.77505,1.061,0.99015,0.995,0.99055,0.74477,0.90127,0.72094,1.03316,0.000953,0.000953,0.000953
26,125.726,0.95489,0.74031,1.09368,0.98012,0.9986,0.99277,0.74531,0.89146,0.62627,1.04106,0.000940625,0.000940625,0.000940625
27,130.323,0.93621,0.75002,1.09055,0.9886,0.99194,0.99381,0.72582,0.91463,0.59793,1.0616,0.00092825,0.00092825,0.00092825
28,134.936,0.90671,0.7288,1.06971,0.97632,0.99979,0.98948,0.72781,0.94553,0.58079,1.06093,0.000915875,0.000915875,0.000915875
29,139.628,0.94101,0.70654,1.07861,0.99316,0.98511,0.99421,0.74688,0.87874,0.57657,1.02663,0.0009035,0.0009035,0.0009035
30,144.231,0.90002,0.6917,1.0601,0.99332,0.98712,0.99465,0.74502,0.92555,0.56879,1.01349,0.000891125,0.000891125,0.000891125
31,148.753,0.94258,0.68573,1.06068,0.96344,0.94957,0.99423,0.75703,0.90281,0.5953,0.99858,0.00087875,0.00087875,0.00087875
32,153.353,0.87846,0.70589,1.05366,0.99147,0.99562,0.99396,0.73736,0.89274,0.59654,1.0052,0.000866375,0.000866375,0.000866375
33,157.934,0.92453,0.66906,1.05334,0.99402,1,0.99366,0.75581,0.87446,0.59707,1.00459,0.000854,0.000854,0.000854
34,162.87,0.89168,0.65316,1.04821,0.99401,1,0.99069,0.73286,0.90691,0.58187,1.01127,0.000841625,0.000841625,0.000841625
35,167.488,0.8835,0.6184,1.05685,0.98806,0.995,0.9848,0.74486,0.88084,0.5269,1.00726,0.00082925,0.00082925,0.00082925
