epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3213,0.64358,1.46585,3.88553,1.07121,0.73654,0.63722,0.85586,0.79287,0.73654,0.63722,0.85726,0.79856,0.33915,0.49189,7.35298,0.82175,0.00020006,0.00020006,0.00020006
2,33.1737,0.46743,0.66927,1.1584,0.89635,0.91003,0.93682,0.95366,0.82771,0.90771,0.93464,0.94373,0.87534,0.47684,0.68077,2.4327,0.87333,0.000411675,0.000411675,0.000411675
3,46.9692,0.50117,0.58045,0.93089,0.88264,0.69707,0.74478,0.85055,0.6901,0.69923,0.75353,0.86484,0.74014,0.55766,0.75148,2.84536,0.90214,0.00062046,0.00062046,0.00062046
4,60.5109,0.52828,0.58464,0.79121,0.91737,0.64392,0.78618,0.91692,0.75969,0.63863,0.78242,0.90962,0.74698,0.5712,1.88957,3.84662,0.91211,0.000826416,0.000826416,0.000826416
5,73.6251,0.53443,0.60069,0.79002,0.91861,0.78183,0.48527,0.66091,0.51986,0.78111,0.48638,0.66107,0.52157,0.72819,2.13068,1.94343,1.06992,0.00102954,0.00102954,0.00102954
6,86.8129,0.50791,0.59428,0.69122,0.91242,0.77038,0.55381,0.60498,0.52655,0.74984,0.5159,0.5595,0.30106,0.59947,5.59786,4.94978,0.92533,0.00122984,0.00122984,0.00122984
7,99.8504,0.50627,0.60235,0.62517,0.90693,0.43133,0.69913,0.60267,0.47965,0.43133,0.69913,0.60305,0.48298,0.70901,1.10576,2.68066,1.00974,0.00137241,0.00137241,0.00137241
8,112.731,0.52982,0.61303,0.59148,0.90892,0.76119,0.83167,0.86882,0.6958,0.75824,0.82426,0.84881,0.64694,0.65684,2.69503,2.35387,0.99418,0.00136298,0.00136298,0.00136298
9,125.522,0.52671,0.66223,0.56302,0.89869,0.68982,0.79807,0.6914,0.62318,0.68982,0.79807,0.69145,0.64986,0.61467,0.95315,6.38614,0.93654,0.00135355,0.00135355,0.00135355
10,138.289,0.49638,0.57231,0.51826,0.88381,0.67001,0.48944,0.50697,0.41169,0.66157,0.47567,0.48381,0.38282,1.68497,43.835,2.85196,1.70179,0.00134412,0.00134412,0.00134412
11,151.274,0.49502,0.54985,0.52885,0.88599,0.85799,0.58426,0.72344,0.60723,0.85799,0.58426,0.7191,0.64996,0.65206,1.94918,2.32399,1.0404,0.00133469,0.00133469,0.00133469
12,164.363,0.48471,0.51177,0.51587,0.88929,0.77276,0.87427,0.93846,0.80796,0.77276,0.87427,0.93847,0.84117,0.54334,1.20619,4.44687,0.94142,0.00132525,0.00132525,0.00132525
13,177.151,0.4924,0.49609,0.49929,0.91283,0.72903,0.98059,0.93058,0.837,0.72969,0.98277,0.93072,0.84745,0.45148,1.01949,4.42387,0.87479,0.00131582,0.00131582,0.00131582
14,189.982,0.51413,0.52832,0.50425,0.9113,0.84165,0.86807,0.95285,0.85249,0.843,0.87025,0.9539,0.89245,0.45304,0.41879,1.34825,0.86863,0.00130639,0.00130639,0.00130639
15,202.922,0.49926,0.61145,0.47931,0.90906,0.73111,0.94339,0.86165,0.75657,0.72703,0.93239,0.84005,0.7371,0.55664,2.18673,3.02244,0.92652,0.00129696,0.00129696,0.00129696
16,215.761,0.49555,0.49145,0.457,0.91101,0.64156,0.86534,0.95425,0.8397,0.64156,0.86534,0.95811,0.90155,0.48016,0.39047,4.21894,0.89697,0.00128753,0.00128753,0.00128753
17,228.536,0.44619,0.46418,0.42574,0.89287,0.61721,0.80925,0.84535,0.77566,0.61721,0.80925,0.84535,0.79155,0.40593,0.40508,2.27491,0.84237,0.0012781,0.0012781,0.0012781
18,241.488,0.46144,0.44032,0.42987,0.89372,0.85466,0.84341,0.94584,0.85693,0.85466,0.84341,0.94618,0.88001,0.42231,0.45853,1.04438,0.85302,0.00126867,0.00126867,0.00126867
19,254.542,0.47969,0.44736,0.42169,0.89777,0.96294,0.97926,0.98663,0.90325,0.93448,0.96692,0.96497,0.88333,0.41305,1.20206,0.61326,0.83928,0.00125923,0.00125923,0.00125923
20,267.84,0.44926,0.48314,0.41767,0.88005,0.9486,0.89741,0.94373,0.86304,0.94943,0.89832,0.94393,0.85638,0.46243,0.7329,0.93102,0.87779,0.0012498,0.0012498,0.0012498
21,280.965,0.45422,0.46005,0.40293,0.8693,0.90336,0.82697,0.91611,0.84894,0.90293,0.8273,0.91722,0.87617,0.37948,0.46882,1.66463,0.83016,0.00124037,0.00124037,0.00124037
22,294.038,0.45912,0.57964,0.42237,0.90852,0.93103,0.98475,0.98133,0.93252,0.93285,0.98693,0.98281,0.94083,0.36545,0.47682,1.91761,0.82548,0.00123094,0.00123094,0.00123094
23,307.543,0.4435,0.47077,0.41161,0.87555,0.94172,0.98442,0.98795,0.93307,0.94172,0.98442,0.98795,0.93342,0.39139,0.48346,0.65753,0.83161,0.00122151,0.00122151,0.00122151
24,320.575,0.44754,0.47144,0.39703,0.88429,0.9871,0.99452,0.99361,0.93321,0.987,0.99487,0.99367,0.94518,0.37811,0.45813,0.47425,0.83237,0.00121208,0.00121208,0.00121208
25,333.69,0.42215,0.53522,0.40882,0.88344,0.97517,0.98911,0.9888,0.91982,0.97517,0.98911,0.98983,0.92121,0.37231,0.46843,0.49001,0.8337,0.00120265,0.00120265,0.00120265
26,346.75,0.44413,0.42764,0.39638,0.87889,0.96334,0.92303,0.98588,0.90862,0.89735,0.87426,0.8769,0.72259,0.3948,3.92831,0.54244,0.83397,0.00119322,0.00119322,0.00119322
27,359.663,0.41665,0.4259,0.37276,0.8584,0.98746,0.99874,0.99316,0.92695,0.98746,0.99874,0.99316,0.96287,0.36607,0.34193,0.36322,0.81765,0.00118378,0.00118378,0.00118378
28,372.812,0.41095,0.46478,0.36906,0.8613,0.98922,0.99346,0.99424,0.94018,0.98922,0.99346,0.99424,0.96573,0.34321,0.35953,0.3677,0.80824,0.00117435,0.00117435,0.00117435
29,386.671,0.38816,0.44023,0.35729,0.86164,0.96119,0.98763,0.99118,0.93958,0.96119,0.98763,0.99118,0.95897,0.34228,0.36079,0.42474,0.81058,0.00116492,0.00116492,0.00116492
30,400.232,0.426,0.47266,0.38015,0.87609,0.98951,0.9957,0.99355,0.94298,0.98957,0.99564,0.99352,0.96821,0.34173,0.36611,0.33541,0.81598,0.00115549,0.00115549,0.00115549
31,413.731,0.39969,0.45131,0.37756,0.86491,0.99074,0.99564,0.99449,0.94352,0.99074,0.99564,0.99449,0.96019,0.35395,0.37498,0.35031,0.8229,0.00114606,0.00114606,0.00114606
32,426.913,0.40702,0.42948,0.37865,0.87512,0.99033,0.99346,0.99379,0.94755,0.99033,0.99346,0.99379,0.96019,0.33755,0.36405,0.33556,0.81518,0.00113663,0.00113663,0.00113663
33,439.97,0.43014,0.49022,0.38417,0.89057,0.98952,0.98911,0.98995,0.93695,0.98732,0.98693,0.98822,0.92003,0.34993,0.49288,0.3535,0.82139,0.0011272,0.0011272,0.0011272
34,453.176,0.39629,0.45996,0.35443,0.85969,0.98625,0.99564,0.99301,0.95235,0.98509,0.99564,0.99301,0.91768,0.32841,0.47998,0.41611,0.81186,0.00111776,0.00111776,0.00111776
35,466.182,0.39445,0.43583,0.34131,0.87063,0.99074,0.99782,0.99287,0.93832,0.99288,1,0.99292,0.96933,0.33858,0.34007,0.30801,0.80795,0.00110833,0.00110833,0.00110833
36,479.288,0.39995,0.44246,0.35803,0.85805,0.98874,1,0.99384,0.94328,0.98874,1,0.99384,0.9684,0.33011,0.33002,0.34572,0.80775,0.0010989,0.0010989,0.0010989
37,492.457,0.40146,0.43635,0.35466,0.86871,0.98095,1,0.99029,0.93635,0.98,1,0.98982,0.96259,0.35317,0.34606,0.33706,0.81514,0.00108947,0.00108947,0.00108947
38,505.56,0.39148,0.42073,0.34378,0.86805,0.99291,1,0.99225,0.94123,0.99291,1,0.99225,0.95957,0.35453,0.34397,0.3419,0.82032,0.00108004,0.00108004,0.00108004
39,518.653,0.40121,0.42521,0.35435,0.8733,0.9944,0.99863,0.99463,0.94504,0.9944,0.99863,0.99463,0.95707,0.32989,0.32626,0.30707,0.81203,0.00107061,0.00107061,0.00107061
40,531.779,0.38848,0.42267,0.34212,0.87003,0.98978,1,0.99437,0.96883,0.98978,1,0.99437,0.97743,0.29194,0.31912,0.30745,0.79921,0.00106118,0.00106118,0.00106118
41,544.877,0.39092,0.4058,0.33479,0.86461,0.97963,0.99009,0.99472,0.95637,0.97963,0.99009,0.99472,0.96642,0.3134,0.33178,0.32603,0.80352,0.00105174,0.00105174,0.00105174
42,558.349,0.37283,0.41461,0.32138,0.86205,0.99265,1,0.99485,0.96334,0.99265,1,0.99485,0.97632,0.29867,0.32459,0.28916,0.80014,0.00104231,0.00104231,0.00104231
43,571.79,0.3631,0.42415,0.30678,0.86322,0.99075,0.99846,0.99251,0.95128,0.99075,0.99846,0.99251,0.97428,0.3035,0.33039,0.28331,0.80029,0.00103288,0.00103288,0.00103288
44,585.15,0.39197,0.43,0.34066,0.85142,0.99253,0.99939,0.99244,0.96056,0.99253,0.99939,0.99244,0.96694,0.29478,0.32375,0.27925,0.80078,0.00102345,0.00102345,0.00102345
45,597.98,0.36469,0.39887,0.30932,0.84854,0.99283,0.99848,0.99399,0.96536,0.99283,0.99848,0.99399,0.97095,0.28901,0.32073,0.27898,0.79761,0.00101402,0.00101402,0.00101402
46,611.011,0.3752,0.39506,0.31892,0.85651,0.99318,0.99805,0.99321,0.96315,0.99318,0.99805,0.99321,0.96668,0.29482,0.32422,0.26742,0.79648,0.00100459,0.00100459,0.00100459
47,623.973,0.35245,0.39596,0.31109,0.85081,0.99443,0.99741,0.99467,0.97156,0.99443,0.99741,0.99467,0.97809,0.28509,0.31477,0.26724,0.79128,0.000995156,0.000995156,0.000995156
48,637.171,0.3408,0.38121,0.31069,0.83982,0.99333,0.99583,0.99435,0.96682,0.99333,0.99583,0.99435,0.97342,0.29586,0.3115,0.27352,0.79436,0.000985724,0.000985724,0.000985724
49,650.234,0.368,0.38498,0.31439,0.86128,0.99473,0.99641,0.99428,0.96705,0.99473,0.99641,0.99428,0.97376,0.31121,0.32278,0.28735,0.80324,0.000976293,0.000976293,0.000976293
50,663.198,0.36028,0.3981,0.3053,0.85231,0.99345,0.9986,0.99359,0.96632,0.99345,0.9986,0.99359,0.97715,0.30046,0.31381,0.28225,0.80149,0.000966861,0.000966861,0.000966861
51,676.303,0.36861,0.42927,0.32098,0.85548,0.99237,0.99917,0.99474,0.96687,0.99237,0.99917,0.99474,0.9732,0.29752,0.30901,0.27469,0.7979,0.00095743,0.00095743,0.00095743
52,689.93,0.34894,0.39667,0.29365,0.84626,0.99215,1,0.99469,0.96434,0.99215,1,0.99469,0.97574,0.30017,0.31528,0.27435,0.79423,0.000947999,0.000947999,0.000947999
53,702.985,0.35322,0.38173,0.29523,0.8503,0.99342,1,0.99465,0.97448,0.99342,1,0.99465,0.97322,0.27681,0.31361,0.27218,0.78823,0.000938567,0.000938567,0.000938567
54,715.982,0.3536,0.39227,0.30007,0.84387,0.98723,0.99787,0.99462,0.97374,0.98723,0.99787,0.99462,0.97654,0.27027,0.31204,0.30711,0.78845,0.000929136,0.000929136,0.000929136
55,729.304,0.3394,0.35587,0.29125,0.85238,0.99382,0.99943,0.99448,0.97113,0.99382,0.99943,0.99448,0.97841,0.27559,0.30691,0.26242,0.78801,0.000919704,0.000919704,0.000919704
56,742.441,0.3592,0.40326,0.30304,0.84918,0.99344,0.99948,0.99462,0.97294,0.99344,0.99948,0.99462,0.97046,0.26971,0.31085,0.24616,0.78621,0.000910273,0.000910273,0.000910273
57,755.526,0.33136,0.36389,0.2772,0.83818,0.99413,0.99845,0.99404,0.96967,0.99413,0.99845,0.99404,0.97431,0.26881,0.31067,0.24582,0.78579,0.000900842,0.000900842,0.000900842
58,768.903,0.34385,0.3774,0.29621,0.84828,0.99226,0.99821,0.99391,0.96492,0.99226,0.99821,0.99391,0.97313,0.28311,0.30575,0.26156,0.79123,0.00089141,0.00089141,0.00089141
59,781.977,0.34425,0.41509,0.28906,0.84976,0.99231,0.99928,0.99343,0.97541,0.99257,0.99867,0.99347,0.97619,0.25788,0.30619,0.25765,0.78433,0.000881979,0.000881979,0.000881979
60,795.137,0.35436,0.37818,0.30083,0.85577,0.99195,1,0.99478,0.96358,0.99195,1,0.99478,0.97363,0.28695,0.339,0.25856,0.79005,0.000872547,0.000872547,0.000872547
61,808.262,0.35915,0.39376,0.29866,0.85457,0.99191,0.99869,0.99435,0.97641,0.99191,0.99869,0.99435,0.97376,0.26155,0.30476,0.24044,0.7868,0.000863116,0.000863116,0.000863116
62,821.334,0.33933,0.36663,0.28334,0.85489,0.9927,1,0.99467,0.97198,0.9927,1,0.99467,0.97961,0.2724,0.30316,0.24971,0.78963,0.000853685,0.000853685,0.000853685
63,834.455,0.32495,0.35843,0.27746,0.84486,0.98979,1,0.99444,0.97306,0.99354,0.99923,0.99449,0.97379,0.26951,0.30478,0.24672,0.7884,0.000844253,0.000844253,0.000844253
64,847.607,0.33322,0.36944,0.28027,0.83216,0.99176,0.99826,0.99352,0.97617,0.99433,1,0.99357,0.97674,0.2645,0.31817,0.24699,0.78362,0.000834822,0.000834822,0.000834822
65,860.733,0.33778,0.38343,0.29171,0.84355,0.98243,0.99639,0.99386,0.97568,0.98243,0.99639,0.99386,0.96883,0.27298,0.3894,0.2778,0.7883,0.00082539,0.00082539,0.00082539
66,873.782,0.34136,0.37387,0.28981,0.84599,0.97979,0.99729,0.99439,0.97545,0.97567,0.99294,0.99239,0.9551,0.27223,0.80967,0.27952,0.79227,0.000815959,0.000815959,0.000815959
67,886.737,0.32832,0.38549,0.28253,0.84764,0.99363,0.99961,0.99478,0.98257,0.99363,0.99961,0.99478,0.97949,0.25492,0.31679,0.23744,0.78409,0.000806528,0.000806528,0.000806528
